Country,Capital,Latitude,Longitude
África do Sul,Pretoria,-28.4793,24.6727
Angola,Luanda,-12.5000,18.5000
Cabo Verde,Praia,16.0000,-24.0000
Egito,Cairo,26.8206,30.8024
Gana,Accra,7.9465,-1.0232
Marrocos,Rabat,31.7917,-7.0926
Moçambique,Maputo,-18.6657,35.5296
Nigéria,Abuja,9.0820,8.6753
Quênia,Nairobi,0.0236,37.9062
Tunísia,Tunis,33.8869,9.5375
Costa Rica,San José,10.0000,-84.0000
Cuba,Havana,21.5218,-77.7812
El Salvador,San Salvador,13.7942,-88.8965
Guatemala,Guatemala City,15.7835,-90.2308
Haiti,Port-au-Prince,18.9712,-72.2852
Honduras,Tegucigalpa,14.6415,-86.5795
Nicarágua,Managua,12.8654,-85.2072
Panamá,Cidade do Panamá,8.5380,-80.7821
República Dominicana,Santo Domingo,18.7357,-70.1627
Trinidad e Tobago,Port of Spain,10.6918,-61.2225
Canadá,Ottawa,56.1304,-106.3468
Estados Unidos,Washington D.C.,37.0902,-95.7129
México,Cidade do México,23.6345,-102.5528
Argentina,Buenos Aires,-38.4161,-63.6167
Bolívia,Sucre,-16.2902,-63.5887
Chile,Santiago,-35.6751,-71.5430
Colômbia,Bogotá,4.5709,-74.2973
Equador,Quito,-1.8312,-78.1834
Guiana,Georgetown,4.8604,-58.9302
Guiana Francesa,Cayenne,4.0030,-53.0000
Paraguai,Assunção,-23.4425,-58.4438
Peru,Lima,-9.1900,-75.0152
Suriname,Paramaribo,4.1413,-56.0775
Uruguai,Montevidéu,-32.5228,-55.7658
Venezuela,Caracas,6.4238,-66.5897
Arábia Saudita,Riade,23.8859,45.0792
Bangladesh,Daca,23.6850,90.3563
China,Pequim,35.8617,104.1954
Hong Kong,Hong Kong,22.3193,114.1694
Cingapura,Singapura,1.3521,103.8198
Filipinas,Manila,12.8797,121.7740
Índia,Nova Délhi,20.5937,78.9629
Indonésia,Jacarta,-0.7893,113.9213
Irã,Teerã,32.4279,53.6880
Israel,Jerusalém,31.0461,34.8516
Japão,Tóquio,36.2048,138.2529
Líbano,Beirute,33.8547,35.8623
Malásia,Kuala Lumpur,4.2105,101.9758
Paquistão,Islamabad,30.3753,69.3451
República da Coreia,Seul,35.9078,127.7669
Síria,Damasco,34.8021,38.9968
Tailândia,Bangkok,15.8700,100.9925
Taiwan,Taipei,23.6978,120.9605
Alemanha,Berlim,51.1657,10.4515
Áustria,Viena,47.5162,14.5501
Bélgica,Bruxelas,50.5039,4.4699
Bulgária,Sófia,42.7339,25.4858
Croácia,Zagreb,45.1000,15.2000
Dinamarca,Copenhague,56.2639,9.5018
Eslováquia,Bratislava,48.6690,19.6990
Eslovênia,Liubliana,46.1512,14.9955
Espanha,Madrid,40.4637,-3.7492
Estônia,Tallinn,58.5953,25.0136
Finlândia,Helsinque,61.9241,25.7482
França,Paris,46.6034,1.8883
Grécia,Atenas,39.0742,21.8243
Holanda,Amsterdã,52.1326,5.2913
Hungria,Budapeste,47.1625,19.5033
Irlanda,Dublin,53.1424,-7.6921
Itália,Roma,41.8719,12.5674
Letônia,Riga,56.8796,24.6032
Lituânia,Vilnius,55.1694,23.8813
Luxemburgo,Cidade do Luxemburgo,49.8153,6.1296
Noruega,Oslo,60.4720,8.4689
Polônia,Varsóvia,51.9194,19.1451
Portugal,Lisboa,39.3999,-8.2245
Reino Unido,Londres,55.3781,-3.4360
República Tcheca,Praga,49.8175,15.4730
Romênia,Bucareste,45.9432,24.9668
Rússia,Moscovo,61.5240,105.3188
Sérvia,Belgrado,44.0165,21.0059
Suécia,Estocolmo,60.1282,18.6435
Suíça,Genebra,46.8182,8.2275
Turquia,Ancara,38.9637,35.2433
Ucrânia,Kiev,48.3794,31.1656
Austrália,Canberra,-25.2744,133.7751
Nova Zelândia,Wellington,-40.9006,174.8860
