País,Continente,Aérea,Marítima,Total,Ano
África do Sul,África,1660,15,1675,2016
Angola,África,6497,0,6497,2016
Cabo Verde,África,137,0,137,2016
Egito,África,1069,2,1071,2016
Gana,África,120,0,120,2016
Marrocos,África,2426,0,2426,2016
Moçambique,África,118,0,118,2016
Nigéria,África,391,0,391,2016
Quênia,África,564,0,564,2016
Tunísia,África,1082,0,1082,2016
Outros - África,África,2628,4,2632,2016
Costa Rica,América Central e Caribe,2662,8,2670,2016
Cuba,América Central e Caribe,1631,0,1631,2016
El Salvador,América Central e Caribe,1074,0,1074,2016
Guatemala,América Central e Caribe,1682,0,1682,2016
Haiti,América Central e Caribe,181,0,181,2016
Honduras,América Central e Caribe,734,2,736,2016
Nicarágua,América Central e Caribe,297,0,297,2016
Panamá,América Central e Caribe,2568,0,2568,2016
República Dominicana,América Central e Caribe,1140,5,1145,2016
Trinidad e Tobago,América Central e Caribe,428,1,429,2016
Outros - América Central e Caribe,América Central e Caribe,1401,1,1402,2016
Canadá,América do Norte,21589,255,21844,2016
Estados Unidos,América do Norte,220071,1374,221445,2016
México,América do Norte,13386,229,13615,2016
Argentina,América do Sul,369061,8616,377677,2016
Bolívia,América do Sul,917,6,923,2016
Chile,América do Sul,120083,202,120285,2016
Colômbia,América do Sul,26699,37,26736,2016
Equador,América do Sul,5177,9,5186,2016
Guiana,América do Sul,50,0,50,2016
Guiana Francesa,América do Sul,0,0,0,2016
Paraguai,América do Sul,3984,11,3995,2016
Peru,América do Sul,14351,24,14375,2016
Suriname,América do Sul,57,0,57,2016
Uruguai,América do Sul,41627,316,41943,2016
Venezuela,América do Sul,6539,14,6553,2016
Arábia Saudita,Ásia,424,0,424,2016
Bangladesh,Ásia,144,0,144,2016
China,Ásia,14330,52,14382,2016
Hong Kong,Ásia,1306,2,1308,2016
Cingapura,Ásia,1147,6,1153,2016
Filipinas,Ásia,1660,4,1664,2016
Índia,Ásia,3704,19,3723,2016
Indonésia,Ásia,575,0,575,2016
Irã,Ásia,1301,1,1302,2016
Israel,Ásia,7701,47,7748,2016
Japão,Ásia,22449,813,23262,2016
Líbano,Ásia,630,0,630,2016
Malásia,Ásia,1575,4,1579,2016
Paquistão,Ásia,416,0,416,2016
República da Coreia,Ásia,5245,12,5257,2016
Síria,Ásia,139,0,139,2016
Tailândia,Ásia,1352,158,1510,2016
Taiwan,Ásia,1656,1,1657,2016
Outros - Ásia,Ásia,3912,3,3915,2016
Alemanha,Europa,57653,361,58014,2016
Áustria,Europa,6821,77,6898,2016
Bélgica,Europa,10925,33,10958,2016
Bulgária,Europa,1512,2,1514,2016
Croácia,Europa,1619,0,1619,2016
Dinamarca,Europa,8523,82,8605,2016
Eslováquia,Europa,1548,0,1548,2016
Eslovênia,Europa,1114,0,1114,2016
Espanha,Europa,32861,207,33068,2016
Estônia,Europa,836,1,837,2016
Finlândia,Europa,4099,1,4100,2016
França,Europa,84960,290,85250,2016
Grécia,Europa,3101,10,3111,2016
Holanda,Europa,24454,60,24514,2016
Hungria,Europa,3385,5,3390,2016
Irlanda,Europa,5375,22,5397,2016
Itália,Europa,44806,501,45307,2016
Letônia,Europa,797,1,798,2016
Lituânia,Europa,1286,2,1288,2016
Luxemburgo,Europa,594,3,597,2016
Noruega,Europa,9138,8,9146,2016
Polônia,Europa,8239,5,8244,2016
Portugal,Europa,44430,21,44451,2016
Reino Unido,Europa,82837,723,83560,2016
República Tcheca,Europa,3308,5,3313,2016
Romênia,Europa,2590,10,2600,2016
Rússia,Europa,10083,36,10119,2016
Sérvia,Europa,1570,3,1573,2016
Suécia,Europa,11825,12,11837,2016
Suíça,Europa,17228,178,17406,2016
Turquia,Europa,2729,3,2732,2016
Ucrânia,Europa,3163,12,3175,2016
Outros - Europa,Europa,3095,6,3101,2016
Austrália,Oceania,18465,218,18683,2016
Nova Zelândia,Oceania,5808,63,5871,2016
Outros - Oceania,Oceania,366,2,368,2016
Países não especificados,Países não especificados,15,0,15,2016
África do Sul,África,2650,140,2790,2017
Angola,África,7088,0,7088,2017
Cabo Verde,África,371,1,372,2017
Egito,África,514,2,516,2017
Gana,África,147,0,147,2017
Marrocos,África,3312,23,3335,2017
Moçambique,África,417,0,417,2017
Nigéria,África,176,0,176,2017
Quênia,África,328,0,328,2017
Tunísia,África,660,1,661,2017
Outros - África,África,1894,1,1895,2017
Costa Rica,América Central e Caribe,2878,2,2880,2017
Cuba,América Central e Caribe,772,0,772,2017
El Salvador,América Central e Caribe,811,0,811,2017
Guatemala,América Central e Caribe,1434,0,1434,2017
Haiti,América Central e Caribe,241,0,241,2017
Honduras,América Central e Caribe,588,7,595,2017
Nicarágua,América Central e Caribe,233,1,234,2017
Panamá,América Central e Caribe,3663,5,3668,2017
República Dominicana,América Central e Caribe,608,20,628,2017
Trinidad e Tobago,América Central e Caribe,233,3,236,2017
Outros - América Central e Caribe,América Central e Caribe,443,8,451,2017
Canadá,América do Norte,8138,975,9113,2017
Estados Unidos,América do Norte,132913,2932,135845,2017
México,América do Norte,13198,419,13617,2017
Argentina,América do Sul,436088,16754,452842,2017
Bolívia,América do Sul,927,8,935,2017
Chile,América do Sul,126112,272,126384,2017
Colômbia,América do Sul,33664,105,33769,2017
Equador,América do Sul,6483,16,6499,2017
Guiana,América do Sul,89,1,90,2017
Guiana Francesa,América do Sul,1,0,1,2017
Paraguai,América do Sul,3931,35,3966,2017
Peru,América do Sul,15155,28,15183,2017
Suriname,América do Sul,56,0,56,2017
Uruguai,América do Sul,40157,433,40590,2017
Venezuela,América do Sul,4541,25,4566,2017
Arábia Saudita,Ásia,270,0,270,2017
Bangladesh,Ásia,119,0,119,2017
China,Ásia,11417,210,11627,2017
Hong Kong,Ásia,831,16,847,2017
Cingapura,Ásia,1523,22,1545,2017
Filipinas,Ásia,1713,52,1765,2017
